titleId,title,source
ASIA00048,Ultimate Shooter Pack: Resistance 3 / Killzone 3,gametdb
ASIA00049,Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs,gametdb
ASIA00050,Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III,gametdb
ASIA00051,PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2,gametdb
ASIA00052,PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III,gametdb
ASIA00074,Ultimate Uncharted Pack,gametdb
BCAS01594,Ratchet &amp; Clank: QForce,gametdb
BCAS20001,Ridge Racer 7,gametdb
BCAS20002,Genji: Kamui Souran,gametdb
BCAS20003,Resistance: Fall of Man,gametdb
BCAS20004,MotorStorm,gametdb
BCAS20005,Armored Core 4,gametdb
BCAS20006,NBA '07,gametdb
BCAS20007,Railfan,gametdb
BCAS20008,Enchant Arm,gametdb
BCAS20009,Formula One Championship Edition,gametdb
BCAS20010,MLB 07: The Show,gametdb
BCAS20012,Ninja Gaiden Sigma,gametdb
BCAS20013,Folklore,gametdb
BCAS20014,Lair,gametdb
BCAS20015,Warhawk,gametdb
BCAS20016,Heavenly Sword,gametdb
BCAS20018,Railfan: Taiwan High Speed Rail,gametdb
BCAS20019,Everybody's Golf 5,gametdb
BCAS20020,Wangan Midnight,gametdb
BCAS20021,The Eye of Judgement,gametdb
BCAS20022,Tom Clancy's Ghost Recon Advanced Warfighter 2,gametdb
BCAS20023,Ratchet &amp;amp; Clank Future: Tools of Destruction,gametdb
BCAS20024,Uncharted: Drake's Fortune,gametdb
BCAS20025,NBA 08,gametdb
BCAS20026,Time Crisis 4 (with GunCon 3),gametdb
BCAS20027,Gran Turismo 5: Prologue,gametdb
BCAS20028,Beowolf: The Game,gametdb
BCAS20029,Brothers in Arms: Hell's Highway,gametdb
BCAS20030,Haze,gametdb
BCAS20031,Makai Senki Disgaea 3,gametdb
BCAS20032,Trusty Bell: Chopin no Yume Reprise,gametdb
BCAS20033,Lost: Via Domus,gametdb
BCAS20034,Armored Core: For Answer,gametdb
BCAS20035,Motorstorm Complete,gametdb
BCAS20036,Dark Sector,gametdb
BCAS20037,Resistance: Fall of Man (PlayStation 3 the Best),gametdb
BCAS20038,FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best),gametdb
BCAS20039,Ridge Racer 7 (PlayStation 3 the Best),gametdb
BCAS20040,Ninja Gaiden Sigma (PlayStation 3 the Best),gametdb
BCAS20041,Hot Shots Golf : Out of Bounds,gametdb
BCAS20042,MLB 08 : The Show,gametdb
BCAS20043,Battle Fantasia,gametdb
BCAS20044,MotorStorm II,gametdb
BCAS20045,Ratchet &amp; Clank: Tools of Destruction (PlayStation 3 the Best),gametdb
BCAS20046,Tears to Tiara : Kakan no Daichi,gametdb
BCAS20047,Siren: New Translation,gametdb
BCAS20048,SoulCalibur IV,gametdb
BCAS20049,Vampire Rain : Altered Species,gametdb
BCAS20050,Hakuna Matata,gametdb
BCAS20051,SOCOM: U.S. Navy SEALs Confrontation,gametdb
BCAS20052,Ratchet &amp;amp; Clank: Quest for Booty,gametdb
BCAS20053,Disgaea 3: Absence of Justice,gametdb
BCAS20054,Aquanaut's Holiday: Kakusareta Kiroku,gametdb
BCAS20055,Resistance 2,gametdb
BCAS20056,X Edge,gametdb
BCAS20057,Warhawk (PlayStation 3 the Best),gametdb
BCAS20058,LittleBigPlanet,gametdb
BCAS20059,The Elder Scrolls IV: Oblivion (Game of the Year Edition),gametdb
BCAS20060,NBA 09 The Inside,gametdb
BCAS20061,Fallout 3,gametdb
BCAS20062,Hakuna Matata,gametdb
BCAS20063,Samurai Dou 3,gametdb
BCAS20064,Aquanaut's Holiday: Hidden Memories,gametdb
BCAS20065,SBK 08 : Superbike World Championship,gametdb
BCAS20066,Killzone 2,gametdb
BCAS20068,Brain Challenge,gametdb
BCAS20070,PixelJunk 3-in-1 Pack,gametdb
BCAS20071,Demon's Souls,gametdb
BCAS20072,MLB 09 : The Show,gametdb
BCAS20073,The Last Guy,gametdb
BCAS20074,inFamous,gametdb
BCAS20075,Agarest Senki Zero,gametdb
BCAS20076,Rorona no Atelier: Arland no Renkinjutsushi,gametdb
BCAS20077,BlazBlue: Calamity Trigger,gametdb
BCAS20078,LittleBigPlanet (Game of the Year Edition),gametdb
BCAS20079,Uncharted: Drake's Fortune,gametdb
BCAS20080,Katamari Damacy Tribute,gametdb
BCAS20081,MAG,gametdb
BCAS20082,SIREN: New Translation (PlayStation 3 the Best),gametdb
BCAS20083,Minna no Golf 5 (PlayStation 3 the Best),gametdb
BCAS20084,Tears to Tiara : Kakan no Daichi (PlayStation 3 the Best),gametdb
BCAS20085,Soul Calibur IV (PlayStation 3 the Best),gametdb
BCAS20086,Trinity Universe,gametdb
BCAS20087,Toro! Let's Party!,gametdb
BCAS20088,Trusty Bell: Chopin no Yume Reprise (PlayStation 3 the Best),gametdb
BCAS20089,Kidou Senshi Gundam Senki,gametdb
BCAS20090,Hakuna Matata (PlayStation 3 the Best),gametdb
BCAS20091,LittleBigPlanet (PlayStation 3 the Best),gametdb
BCAS20092,WET,gametdb
BCAS20093,Tales of Vesperia,gametdb
BCAS20094,Tears to Tiara Gaiden : Avalon no Nazo,gametdb
BCAS20095,Katamari Forever,gametdb
BCAS20097,Uncharted 2: Among Thieves,gametdb
BCAS20098,Ratchet &amp; Clank Future: A Crack in Time,gametdb
BCAS20099,Rogue Warrior,gametdb
BCAS20100,Wipeout HD Fury,gametdb
BCAS20101,Way of the Samurai 3 Plus (PlayStation 3 the Best),gametdb
BCAS20102,God of War Collection,gametdb
BCAS20103,EyePet (Bundle with PlayStation3 Eye),gametdb
BCAS20104,EyePet (Bundle with PlayStation3 Eye),gametdb
BCAS20105,ModNation Racers,gametdb
BCAS20106,3D Dot Game Heroes,gametdb
BCAS20107,Heavy Rain,gametdb
BCAS20108,Gran Turismo 5,gametdb
BCAS20109,Last Rebellion,gametdb
BCAS20110,Resistance 2 (PlayStation 3 the Best),gametdb
BCAS20111,Star Ocean: The Last Hope International,gametdb
BCAS20112,No More Heroes: Eiyuutachi no Rakuen,gametdb
BCAS20113,LittleBigPlanet 2,gametdb
BCAS20114,Last Rebellion,gametdb
BCAS20115,Demon's Souls (PlayStation 3 the Best),gametdb
BCAS20116,BlazBlue : Calamity Trigger (PlayStation3 the Best),gametdb
BCAS20117,Lair (PlayStation 3 the Best),gametdb
BCAS20118,Red Seeds Profile,gametdb
BCAS20119,MLB 10 The Show,gametdb
BCAS20120,NieR RepliCant,gametdb
BCAS20121,SOCOM 4: U.S. Navy SEALS,gametdb
BCAS20122,NieR,gametdb
